,Complaint Type,Sub Type,Unnamed: 0,address_street_direction,address_street_name,address_street_number,address_street_suffix,any_people_using_property_homeless_childen_gangs_,community_area,completion_date,creation_date,current_activity,if_the_building_is_open_where_is_the_entry_point_,is_the_building_currently_vacant_or_occupied_,is_the_building_dangerous_or_hazardous_,is_the_building_vacant_due_to_fire_,latitude,location,location_of_building_on_the_lot_if_garage_change_type_code_to_bgd_,longitude,most_recent_action,number_of_potholes_filled_on_block,police_district,service_request_number,service_request_type,ssa,status,street_address,type_of_service_request,ward,what_type_of_surface_is_the_graffiti_on_,x_coordinate,y_coordinate,zip_code
436847,Graffiti Removal,Garage,36847,,,,,,19.0,2013-12-11T00:00:00,2013-12-10T00:00:00,,,,,,41.9260371093525,"{'longitude': '-87.76374817787998', 'needs_recoding': False, 'latitude': '41.9260371093525'}",,-87.76374817787998,,,25.0,13-01833628,,,Completed,2504 N LINDER AVE,Graffiti Removal,30.0,Aluminum Siding,1139291.47966843,1916106.23912076,60639.0
560307,Graffiti Removal,Front,10307,,,,,,21.0,2014-11-03T00:00:00,2014-11-03T00:00:00,,,,,,41.932540595009534,"{'longitude': '-87.7128645252805', 'needs_recoding': False, 'latitude': '41.93254059500953'}",,-87.7128645252805,,,14.0,14-01892370,,,Completed,2823 N MILWAUKEE AVE,Graffiti Removal,35.0,Brick - Painted,1153021.40179657,1918614.68230168,60618.0
923424,Pot Holes Reported,Pot Hole in Street,10086,,,,,,65.0,2011-01-25T00:00:00,2011-01-20T00:00:00,Dispatch Crew,,,,,41.785795606129774,"{'longitude': '-87.72601885378756', 'needs_recoding': False, 'latitude': '41.785795606129774'}",,-87.72601885378755,Pothole Patched,13.0,8.0,11-00092476,,,Completed,4113 W 59TH ST,,13.0,,1149913.28841987,1865160.22893162,60629.0
435827,Graffiti Removal,Door,35827,,,,,,28.0,2013-12-09T00:00:00,2013-12-06T00:00:00,,,,,,41.88731367547286,"{'longitude': '-87.6644009835736', 'needs_recoding': False, 'latitude': '41.88731367547286'}",,-87.66440098357359,,,12.0,13-01817915,,,Completed,1501 W CARROLL AVE,Graffiti Removal,27.0,Vinyl Siding,1166399.78499283,1902277.0888899,60607.0
1447066,Sanitation Code Complaints,Other,26286,,,,,,30.0,2015-02-20T00:00:00,2015-02-16T00:00:00,,,,,,41.84539185358649,"{'longitude': '-87.71237767529122', 'needs_recoding': False, 'latitude': '41.84539185358649'}",,-87.71237767529121,,,10.0,15-00299765,,,Completed,2546 S ST LOUIS AVE,Sanitation Code Violation,22.0,,1153441.98220921,1886862.58837819,60623.0
1158903,Pot Holes Reported,Pothole in Street,45565,,,,,,2.0,2014-05-01T00:00:00,2014-03-10T00:00:00,Final Outcome,,,,,41.99225560056792,"{'longitude': '-87.7020343742408', 'needs_recoding': False, 'latitude': '41.992255600567916'}",,-87.7020343742408,Pothole Patched,72.0,24.0,14-00335762,,,Completed,6100 N FRANCISCO AVE,,50.0,,1155907.33390439,1940369.32231194,60659.0
1031489,Pot Holes Reported,Pot Hole in Street,18151,,,,,,51.0,2011-08-02T00:00:00,2011-07-19T00:00:00,Dispatch Crew,,,,,41.708032836311226,"{'longitude': '-87.56344836316018', 'needs_recoding': False, 'latitude': '41.70803283631123'}",,-87.56344836316019,Pothole Patched,12.0,4.0,11-03409244,,,Completed,10300 S BENSLEY AVE,,10.0,,1194508.42971831,1837170.79800294,60617.0
711009,Graffiti Removal,Front,11009,,,,,,31.0,2016-01-11T00:00:00,2016-01-11T00:00:00,,,,,,41.845141424557006,"{'longitude': '-87.67580487731604', 'needs_recoding': False, 'latitude': '41.845141424557006'}",,-87.67580487731605,,,10.0,16-00182832,,,Completed,2558 S DAMEN AVE,Graffiti Removal,25.0,Brick - Unpainted,1163443.42120833,1887018.77607977,60608.0
603791,Graffiti Removal,Rear,3791,,,,,,16.0,2015-03-16T00:00:00,2015-03-16T00:00:00,,,,,,41.960216002827714,"{'longitude': '-87.71570702320929', 'needs_recoding': False, 'latitude': '41.96021600282771'}",,-87.7157070232093,,,17.0,15-00768016,,60.0,Completed,4330 N ST LOUIS AVE,Graffiti Removal,33.0,Brick - Unpainted,1152277.73472418,1928558.42531352,60618.0
292286,Graffiti Removal,Garage,42286,,,,,,58.0,2011-11-10T00:00:00,2011-11-09T00:00:00,,,,,,41.80941437215992,"{'longitude': '-87.6916491193372', 'needs_recoding': False, 'latitude': '41.80941437215992'}",,-87.6916491193372,,,9.0,11-04100802,,,Completed,4623 S WASHTENAW AVE,Graffiti Removal,12.0,Wood - Painted,1159144.74449765,1873896.81970212,60632.0
373331,Graffiti Removal,Side,23331,,,,,,2.0,2013-07-18T00:00:00,2013-07-13T00:00:00,,,,,,41.98560528515967,"{'longitude': '-87.6991023372116', 'needs_recoding': False, 'latitude': '41.98560528515967'}",,-87.69910233721158,,,20.0,13-00934149,,,Completed,5727 N LINCOLN AVE,Graffiti Removal,40.0,Brick - Unpainted,1156661.38142743,1937947.77773235,60659.0
142481,Graffiti Removal,Side,42481,,,,,,60.0,2012-05-09T00:00:00,2012-05-01T00:00:00,,,,,,41.84055377709372,"{'longitude': '-87.66048949858407', 'needs_recoding': False, 'latitude': '41.84055377709372'}",,-87.66048949858406,,,9.0,12-00843150,,,Completed,2980 S ARCHER AVE,Graffiti Removal,11.0,Brick - Unpainted,1167601.03999955,1885162.92001117,60608.0
1206122,Pot Holes Reported,Pothole in Street,42784,,,,,,22.0,2014-08-21T00:00:00,2014-07-16T00:00:00,,,,,,41.925038006410325,"{'longitude': '-87.67804719101314', 'needs_recoding': False, 'latitude': '41.925038006410325'}",,-87.67804719101315,,,14.0,14-01132985,,,Completed - Dup,2400 N DAMEN AVE,,32.0,,1162614.70988649,1915951.04987793,60647.0
828703,Graffiti Removal,Dumpster,28703,,,,,,5.0,2017-01-03T00:00:00,2017-01-01T00:00:00,,,,,,41.94124769689785,"{'longitude': '-87.68150871905696', 'needs_recoding': False, 'latitude': '41.94124769689784'}",,-87.68150871905695,,,19.0,17-00005495,,,Completed,2117 W SCHOOL ST,Graffiti Removal,32.0,Metal - Painted,1161585.90013379,1921894.41723043,60618.0
880347,Vacant and Abandoned Buildings Reported,Open,25725,N,AVERS,632,AVE,0.0,23.0,,2012-04-30T00:00:00,,ALL,Vacant,,0.0,41.892326094705595,"{'longitude': '-87.72232354272535', 'needs_recoding': False, 'latitude': '41.89232609470559'}",Front,-87.72232354272535,,,11.0,12-00834776,Vacant/Abandoned Building,,,,,27.0,,1150610.28298677,1903945.88410088,60624.0
1006349,Pot Holes Reported,Pot Hole in Street,43011,,,,,,65.0,2012-05-09T00:00:00,2012-05-04T00:00:00,Dispatch Crew,,,,,41.780753246841606,"{'longitude': '-87.7364013506231', 'needs_recoding': False, 'latitude': '41.7807532468416'}",,-87.7364013506231,Pothole Patched,1.0,8.0,12-00863069,,,Completed,6146 S KOLMAR AVE,,13.0,,1147093.56188202,1863462.27901699,60629.0
1469775,Sanitation Code Complaints,Garbage in yard,48995,,,,,,57.0,2016-05-10T00:00:00,2016-05-05T00:00:00,,,,,,41.80503989940064,"{'longitude': '-87.72350226815361', 'needs_recoding': False, 'latitude': '41.80503989940064'}",,-87.72350226815361,,,8.0,16-03083759,,,Completed,4854 S PULASKI RD,Sanitation Code Violation,14.0,,1150515.21791579,1872136.81751541,60632.0
1469793,Sanitation Code Complaints,Garbage in yard,49013,,,,,,6.0,2016-05-10T00:00:00,2016-05-06T00:00:00,,,,,,41.945622840177926,"{'longitude': '-87.64578742136067', 'needs_recoding': False, 'latitude': '41.94562284017792'}",,-87.64578742136067,,,19.0,16-03124380,,,Completed,625 W CORNELIA AVE,Sanitation Code Violation,46.0,,1171293.25080131,1923524.9880126999,60657.0
115201,Graffiti Removal,Front,15201,,,,,,19.0,2011-03-31T00:00:00,2011-03-31T00:00:00,,,,,,41.9310980054246,"{'longitude': '-87.77116208970716', 'needs_recoding': False, 'latitude': '41.931098005424595'}",,-87.77116208970716,,,25.0,11-00543557,,,Completed,5801 W DIVERSEY AVE,Graffiti Removal,30.0,Other / Unknown Surface,1137224.28927835,1918023.62968541,60639.0
204502,Graffiti Removal,Fence,4502,,,,,,30.0,2011-07-18T00:00:00,2011-07-18T00:00:00,,,,,,41.851816615102976,"{'longitude': '-87.71006758461843', 'needs_recoding': False, 'latitude': '41.851816615102976'}",,-87.71006758461843,,,10.0,11-03398453,,,Completed,3358 W CERMAK RD,Graffiti Removal,24.0,Brick - Painted,1154248.52297068,1889173.32576957,60623.0
523366,Graffiti Removal,Front,23366,,,,,,24.0,2014-07-21T00:00:00,2014-07-20T00:00:00,,,,,,41.9036641338405,"{'longitude': '-87.65836051300803', 'needs_recoding': False, 'latitude': '41.9036641338405'}",,-87.65836051300802,,,14.0,14-01156473,,,Completed,1203 N ELSTON AVE,Graffiti Removal,32.0,"Cement (Sidewalk, Alley, Wall, Curb)",1167971.05887443,1908177.2930281998,60642.0
1177931,Pot Holes Reported,Pothole in Street,14593,,,,,,11.0,2014-06-17T00:00:00,2014-06-12T00:00:00,Final Outcome,,,,,41.969871645380415,"{'longitude': '-87.75522865400347', 'needs_recoding': False, 'latitude': '41.969871645380415'}",,-87.75522865400347,No Potholes Found,0.0,16.0,14-00893416,,,Completed,5100 W AINSLIE ST,,45.0,,1141495.2438669,1932102.35318097,60630.0
91887,Graffiti Removal,Front,41887,,,,,,65.0,2012-03-16T00:00:00,2012-03-14T00:00:00,,,,,,41.77846093482106,"{'longitude': '-87.7301348967672', 'needs_recoding': False, 'latitude': '41.77846093482106'}",,-87.7301348967672,,,8.0,12-00612566,,3.0,Completed - Dup,4301 W 63RD ST,Graffiti Removal,13.0,Brick - Unpainted,1148780.0259791,1862478.98418862,60629.0
432747,Graffiti Removal,Rear,32747,,,,,,52.0,2013-12-02T00:00:00,2013-11-29T00:00:00,,,,,,41.69945119160296,"{'longitude': '-87.54362754416407', 'needs_recoding': False, 'latitude': '41.69945119160296'}",,-87.54362754416407,,,4.0,13-01784311,,,Completed,10751 S BUFFALO AVE,Graffiti Removal,10.0,Aluminum Siding,1199867.80728628,1834265.6512658,60617.0
1217651,Pot Holes Reported,Pothole in Street,4313,,,,,,43.0,2014-10-16T00:00:00,2014-09-03T00:00:00,Final Outcome,,,,,41.765183207986546,"{'longitude': '-87.57631402251846', 'needs_recoding': False, 'latitude': '41.765183207986546'}",,-87.57631402251845,Pothole Patched,16.0,3.0,14-01469386,,42.0,Completed,1999 E 71ST PL,,5.0,,1190781.21001767,1857972.56997271,60649.0
800706,Graffiti Removal,Rear,706,,,,,,30.0,2016-09-29T00:00:00,2016-09-28T00:00:00,,,,,,41.844309157342316,"{'longitude': '-87.72857433523204', 'needs_recoding': False, 'latitude': '41.844309157342316'}",,-87.72857433523205,,,10.0,16-06835125,,25.0,Completed - Dup,4136 W 26TH ST,Graffiti Removal,22.0,"Cement (Sidewalk, Alley, Wall, Curb)",1149097.15996867,1886398.14100043,60623.0
